file,score,match
resume_36.pdf,59.89,✅
resume_24.pdf,58.28,✅
resume_2.pdf,57.4,✅
resume_44.pdf,54.63,✅
resume_50.pdf,54.56,✅
resume_10.pdf,53.69,✅
resume_18.pdf,53.68,✅
resume_20.pdf,53.02,✅
resume_28.pdf,52.07,✅
resume_22.pdf,52.02,✅
resume_4.pdf,51.04,✅
resume_32.pdf,50.57,✅
resume_6.pdf,49.73,✅
resume_12.pdf,49.51,✅
resume_16.pdf,48.5,✅
resume_14.pdf,46.76,✅
resume_26.pdf,46.47,✅
resume_40.pdf,45.78,✅
resume_38.pdf,45.22,✅
resume_48.pdf,44.01,✅
resume_30.pdf,43.44,✅
resume_42.pdf,43.04,✅
resume_34.pdf,42.24,✅
resume_8.pdf,41.03,✅
resume_46.pdf,40.54,✅
resume_5.pdf,36.88,✅
resume_43.pdf,35.51,✅
resume_31.pdf,35.49,✅
resume_15.pdf,34.97,✅
resume_3.pdf,33.7,✅
resume_45.pdf,32.24,✅
resume_17.pdf,31.96,✅
resume_27.pdf,31.53,✅
resume_41.pdf,31.43,✅
resume_37.pdf,30.51,✅
resume_35.pdf,30.28,✅
resume_47.pdf,30.13,✅
resume_29.pdf,29.64,❌
resume_33.pdf,29.6,❌
resume_11.pdf,28.64,❌
resume_7.pdf,28.22,❌
resume_9.pdf,27.51,❌
resume_1.pdf,27.03,❌
resume_49.pdf,26.87,❌
resume_19.pdf,25.58,❌
resume_25.pdf,24.27,❌
resume_13.pdf,22.14,❌
resume_39.pdf,22.04,❌
resume_23.pdf,21.91,❌
resume_21.pdf,20.87,❌
